Name,NACA 0010
Chord(mm),120
Radius(mm),0
Thickness(%),100
Origin(%),25
Pitch(deg),0
,
Airfoil surface,
X(mm),Y(mm)
90.000000,0.126000
84.000000,0.806400
78.000000,1.448400
66.000000,2.624400
54.000000,3.663600
42.000000,4.563600
30.000000,5.294400
18.000000,5.804400
6.000000,6.002400
0.000000,5.942400
-6.000000,5.738400
-12.000000,5.346000
-18.000000,4.682400
-21.000000,4.200000
-24.000000,3.554400
-27.000000,2.613600
-28.500000,1.893600
-30.000000,0.000000
-28.500000,-1.893600
-27.000000,-2.613600
-24.000000,-3.554400
-21.000000,-4.200000
-18.000000,-4.682400
-12.000000,-5.346000
-6.000000,-5.738400
0.000000,-5.942400
6.000000,-6.002400
18.000000,-5.804400
30.000000,-5.294400
42.000000,-4.563600
54.000000,-3.663600
66.000000,-2.624400
78.000000,-1.448400
84.000000,-0.806400
90.000000,-0.126000
,
Camber line,
X(mm),Y(mm)
-30.000000,0.000000
-28.500000,0.000000
-27.000000,0.000000
-24.000000,0.000000
-21.000000,0.000000
-18.000000,0.000000
-12.000000,0.000000
-6.000000,0.000000
0.000000,0.000000
6.000000,0.000000
18.000000,0.000000
30.000000,0.000000
42.000000,0.000000
54.000000,0.000000
66.000000,0.000000
78.000000,0.000000
84.000000,0.000000
90.000000,0.000000
,
Chord line,
X(mm),Y(mm)
-30.000000,0.000000
90.000000,0.000000
